cluster,m_frontWing,m_rearWing,m_onThrottle,m_offThrottle,m_frontCamber,m_rearCamber,m_frontToe,m_rearToe,m_frontSuspension,m_rearSuspension,m_frontAntiRollBar,m_rearAntiRollBar,m_frontSuspensionHeight,m_rearSuspensionHeight,m_brakePressure,m_brakeBias,m_engineBraking,m_rearLeftTyrePressure,m_rearRightTyrePressure,m_frontLeftTyrePressure,m_frontRightTyrePressure,lapTime
9,50.0,50.0,19.444444444444443,41.111111111111114,-3.400000095367432,-2.200000047683716,0.1000000014901161,0.25,25.0,24.0,13.0,11.0,32.0,78.55555555555556,98.33333333333333,55.22222222222222,40.0,20.5,20.5,22.700000762939453,22.700000762939453,71745.77777777778
3,45.84848484848485,34.03030303030303,22.575757575757574,20.0,-3.5,-2.200000047683716,0.0,0.0,37.21212121212121,9.545454545454545,4.96969696969697,3.212121212121212,22.272727272727273,55.75757575757576,100.0,50.75757575757576,15.151515151515152,20.92424213525021,20.92424213525021,23.92424213525021,23.92424213525021,72447.0
8,41.31428571428572,34.0,31.0,41.0,-3.5,-2.200000047683716,0.23285714387893677,0.25,35.0,4.4,8.6,6.8,25.0,55.0,95.0,55.0,100.0,26.5,26.5,29.5,29.5,73214.17142857143
4,27.714285714285715,21.857142857142858,62.142857142857146,52.857142857142854,-2.7857143538338796,-1.5428571530750819,0.0557142852672508,0.2000000029802322,6.285714285714286,3.5714285714285716,7.857142857142857,4.571428571428571,34.0,66.0,100.0,52.857142857142854,55.714285714285715,20.871428898402623,20.871428898402623,23.114286150251115,23.114286150251115,74726.0
1,46.5,42.21,79.4,37.6,-3.5,-2.200000047683716,0.015,0.05700000107288358,40.2,5.7,17.13,16.05,23.05,55.32,100.0,52.39,89.7,26.44,26.44,29.47,29.47,77132.38
0,40.675,37.175,40.25,46.875,-3.225000041723251,-1.8750000178813935,0.08975000213831655,0.08099999874830241,27.15,16.375,11.55,9.7,26.275,65.6,96.475,54.35,28.5,21.007499837875365,21.007499837875365,23.622499752044682,23.622499752044682,77887.225
5,50.0,48.8,78.57142857142857,36.857142857142854,-3.5,-2.200000047683716,0.0,0.04285714349576405,39.628571428571426,4.771428571428571,16.285714285714285,13.771428571428572,22.485714285714284,58.97142857142857,99.48571428571428,52.77142857142857,78.57142857142857,23.048571123395647,23.048571123395647,23.78857160295759,23.78857160295759,78456.91428571429
2,35.26315789473684,32.10526315789474,67.89473684210526,65.0,-3.5,-2.200000047683716,0.25,0.25,39.421052631578945,3.1052631578947367,16.894736842105264,15.31578947368421,20.0,52.63157894736842,96.05263157894737,53.94736842105263,100.0,26.5,26.5,29.5,29.5,89417.84210526316
7,38.526315789473685,33.21052631578947,56.8421052631579,64.73684210526316,-3.428947379714564,-2.200000047683716,0.2184210529452876,0.23947368483794362,40.1578947368421,3.526315789473684,17.42105263157895,15.947368421052632,20.842105263157894,55.63157894736842,100.0,55.0,93.6842105263158,23.210526315789473,23.210526315789473,25.05263157894737,24.94736842105263,89620.68421052632
6,26.0,24.0,25.0,70.0,-3.5,-1.5,0.05000000074505799,0.41999998688697804,37.0,12.0,21.0,11.0,20.0,80.0,100.0,58.0,50.0,21.100000381469727,21.100000381469727,24.899999618530277,24.899999618530277,90638.3
