cluster,m_frontWing,m_rearWing,m_onThrottle,m_offThrottle,m_frontCamber,m_rearCamber,m_frontToe,m_rearToe,m_frontSuspension,m_rearSuspension,m_frontAntiRollBar,m_rearAntiRollBar,m_frontSuspensionHeight,m_rearSuspensionHeight,m_brakePressure,m_brakeBias,m_engineBraking,m_rearLeftTyrePressure,m_rearRightTyrePressure,m_frontLeftTyrePressure,m_frontRightTyrePressure,lapTime
3,44.52,30.52,24.999999999999996,20.0,-3.5,-2.200000047683716,0.0,0.0,36.0,11.0,3.9999999999999987,2.0,23.0,56.0,100.0,51.0,20.0,20.899999618530277,20.899999618530277,23.899999618530277,23.899999618530277,73089.48
4,39.0,45.0,100.0,20.0,-3.5,-2.200000047683716,0.0,0.0,41.0,21.0,5.0,17.0,21.0,54.0,100.0,50.0,100.0,26.5,26.5,29.5,29.5,73187.7
1,41.0,38.0,45.0,50.0,-3.200000047683716,-1.900000095367432,0.0900000035762786,0.0799999982118606,30.0,16.0,14.0,12.0,25.0,68.0,97.0,54.0,30.0,20.899999618530277,20.899999618530277,23.899999618530277,23.899999618530277,73268.53333333334
0,47.567567567567565,37.189189189189186,81.08108108108108,37.83783783783784,-3.5,-2.200000047683716,0.0,0.027027027429761076,41.0,1.81081081081081,19.486486486486488,17.216216216216218,23.7027027027027,58.0,100.0,51.054054054054056,91.89189189189189,26.5,26.5,29.5,29.5,73439.16216216216
2,39.142857142857146,30.0,30.0,45.0,-3.5,-2.200000047683716,0.22857142984867096,0.25,35.0,5.0,10.0,8.0,25.0,55.0,95.0,55.0,100.0,26.5,26.5,29.5,29.5,73847.82142857143
5,27.2,22.4,61.666666666666664,52.0,-2.800000063578288,-1.5533333460489909,0.06733333319425576,0.20200000305970506,7.6,4.533333333333333,8.266666666666667,4.933333333333334,33.93333333333333,66.6,100.0,53.06666666666667,55.333333333333336,20.900000254313152,20.900000254313152,23.18666712443034,23.18666712443034,74692.06666666667
