cluster,m_frontWing,m_rearWing,m_onThrottle,m_offThrottle,m_frontCamber,m_rearCamber,m_frontToe,m_rearToe,m_frontSuspension,m_rearSuspension,m_frontAntiRollBar,m_rearAntiRollBar,m_frontSuspensionHeight,m_rearSuspensionHeight,m_brakePressure,m_brakeBias,m_engineBraking,m_rearLeftTyrePressure,m_rearRightTyrePressure,m_frontLeftTyrePressure,m_frontRightTyrePressure,lapTime
5,50.0,45.0,15.0,20.0,-3.5,-2.200000047683716,0.0,0.0,41.0,5.0,8.0,7.0,20.0,55.0,100.0,50.0,-7.105427357601002e-15,21.0,21.0,24.0,24.0,70439.25
3,50.0,50.0,35.0,25.0,-3.5,-2.200000047683716,0.25,0.25,35.0,2.0,3.0,1.9999999999999982,25.0,55.0,95.0,55.0,100.0,26.5,26.5,29.5,29.5,70679.57142857143
4,50.0,50.0,45.0,60.0,-3.5,-2.200000047683716,0.25,0.25,41.0,10.0,10.0,8.0,20.0,55.0,100.0,50.0,100.0,25.5,25.5,29.0,29.0,70713.66666666667
1,50.0,50.0,74.8780487804878,33.65853658536585,-3.5,-2.200000047683716,0.0,0.07073170837105773,38.97560975609756,6.853658536585366,18.0,15.0,23.78048780487805,53.90243902439025,99.5609756097561,53.19512195121951,80.0,25.329268292682926,25.329268292682926,26.434146229813738,26.434146229813738,70940.31707317074
6,50.0,42.0,20.0,30.0,-3.5,-2.200000047683716,0.0,0.0,27.0,16.0,14.0,14.0,27.0,81.0,91.0,57.0,10.0,20.5,20.5,22.5,22.5,71002.25
2,50.0,47.0,40.0,45.0,-3.200000047683716,-1.7999999523162842,0.1199999973177909,0.10999999940395348,29.0,16.0,13.0,11.0,30.0,70.0,97.0,54.0,30.0,21.5,21.5,24.0,24.0,71186.57142857143
0,50.0,50.0,19.444444444444443,41.111111111111114,-3.400000095367432,-2.200000047683716,0.1000000014901161,0.25,25.0,24.0,13.0,11.0,32.0,78.55555555555556,98.33333333333333,55.22222222222222,40.0,20.5,20.5,22.700000762939453,22.700000762939453,71745.77777777778
