cluster,m_frontWing,m_rearWing,m_onThrottle,m_offThrottle,m_frontCamber,m_rearCamber,m_frontToe,m_rearToe,m_frontSuspension,m_rearSuspension,m_frontAntiRollBar,m_rearAntiRollBar,m_frontSuspensionHeight,m_rearSuspensionHeight,m_brakePressure,m_brakeBias,m_engineBraking,m_rearLeftTyrePressure,m_rearRightTyrePressure,m_frontLeftTyrePressure,m_frontRightTyrePressure,lapTime
0,50.0,50.0,39.61538461538461,41.15384615384615,-3.5,-2.200000047683716,0.25,0.25,37.76923076923077,5.6923076923076925,6.230769230769231,4.769230769230768,22.692307692307693,55.0,97.3076923076923,52.69230769230769,100.0,26.03846153846154,26.03846153846154,29.26923076923077,29.26923076923077,70695.30769230769
1,50.0,48.62068965517241,50.689655172413794,35.51724137931034,-3.5,-2.200000047683716,0.0,0.05172413870178419,39.3448275862069,6.655172413793103,13.172413793103448,10.827586206896552,23.0,57.37931034482759,99.37931034482759,52.172413793103445,46.55172413793103,23.32758620689655,23.32758620689655,23.648275704219422,23.648275704219422,70695.72413793103
4,50.0,42.0,20.0,30.0,-3.5,-2.200000047683716,0.0,0.0,27.0,16.0,14.0,14.0,27.0,81.0,91.0,57.0,10.0,20.5,20.5,22.5,22.5,71002.25
2,50.0,50.0,86.0,25.5,-3.5,-2.200000047683716,0.0,0.07000000104308127,39.25,6.4,21.0,17.85,23.4,49.3,100.0,53.4,96.5,26.5,26.5,29.5,29.5,71094.55
5,50.0,47.0,40.0,45.0,-3.200000047683716,-1.7999999523162842,0.1199999973177909,0.10999999940395348,29.0,16.0,13.0,11.0,30.0,70.0,97.0,54.0,30.0,21.5,21.5,24.0,24.0,71186.57142857143
3,50.0,50.0,19.444444444444443,41.111111111111114,-3.400000095367432,-2.200000047683716,0.1000000014901161,0.25,25.0,24.0,13.0,11.0,32.0,78.55555555555556,98.33333333333333,55.22222222222222,40.0,20.5,20.5,22.700000762939453,22.700000762939453,71745.77777777778
