cluster,m_frontWing,m_rearWing,m_onThrottle,m_offThrottle,m_frontCamber,m_rearCamber,m_frontToe,m_rearToe,m_frontSuspension,m_rearSuspension,m_frontAntiRollBar,m_rearAntiRollBar,m_frontSuspensionHeight,m_rearSuspensionHeight,m_brakePressure,m_brakeBias,m_engineBraking,m_rearLeftTyrePressure,m_rearRightTyrePressure,m_frontLeftTyrePressure,m_frontRightTyrePressure,lapTime
4,34.0,30.0,40.0,50.0,-3.200000047683716,-1.7999999523162842,0.0900000035762786,0.0799999982118606,23.0,17.0,7.0,5.0,25.0,55.0,97.0,54.0,29.999999999999993,21.0,21.0,23.399999618530277,23.399999618530277,89225.30769230769
6,38.0,25.0,55.0,60.0,-3.5,-2.200000047683716,0.25,0.25,41.0,10.0,10.0,8.0,20.0,55.0,100.0,55.0,100.0,20.5,20.5,22.5,22.5,89383.625
2,35.26315789473684,32.10526315789474,67.89473684210526,65.0,-3.5,-2.200000047683716,0.25,0.25,39.421052631578945,3.1052631578947367,16.894736842105264,15.31578947368421,20.0,52.63157894736842,96.05263157894737,53.94736842105263,100.0,26.5,26.5,29.5,29.5,89417.84210526316
0,44.44444444444444,40.55555555555556,72.22222222222223,47.77777777777778,-3.5,-2.200000047683716,-1.3877787807814457e-17,0.06666666931576196,39.333333333333336,3.888888888888889,17.11111111111111,14.555555555555555,23.333333333333332,56.666666666666664,100.0,54.888888888888886,75.55555555555556,26.5,26.5,29.5,29.5,89553.29629629629
7,36.0,26.0,40.0,55.0,-3.5,-2.200000047683716,0.1000000014901161,0.2000000029802322,37.0,4.0,15.0,10.0,24.0,58.0,100.0,55.0,70.0,26.5,26.5,25.0,24.5,89663.625
3,39.63636363636363,38.81818181818182,63.63636363636363,70.0,-3.377272746779702,-2.200000047683716,0.25,0.25,41.0,1.0,21.0,21.0,20.0,55.0,100.0,55.0,100.0,23.0,23.0,26.0,26.0,89691.27272727272
5,50.0,47.0,100.0,30.0,-3.5,-2.200000047683716,-1.3877787807814457e-17,0.0,41.0,1.0,18.0,16.0,20.0,60.0,100.0,52.42857142857143,100.0,21.299999237060547,21.299999237060547,24.200000762939453,24.200000762939453,89952.14285714286
1,26.0,24.0,25.0,70.0,-3.5,-1.5,0.050000000745058004,0.41999998688697804,37.0,12.0,21.0,11.0,20.0,80.0,100.0,58.0,50.0,21.100000381469727,21.100000381469727,24.899999618530277,24.899999618530277,90638.3
