m_header_m_sessionTime,m_header_m_frameIdentifier,m_lapData_0_m_sector1TimeInMS,m_lapData_0_m_sector1TimeInMinutes,m_lapData_0_m_sector2TimeInMS,m_lapData_0_m_sector2TimeInMinutes,m_lapData_1_m_sector1TimeInMS,m_lapData_1_m_sector1TimeInMinutes,m_lapData_1_m_sector2TimeInMS,m_lapData_1_m_sector2TimeInMinutes,m_lapData_2_m_sector1TimeInMS,m_lapData_2_m_sector1TimeInMinutes,m_lapData_2_m_sector2TimeInMS,m_lapData_2_m_sector2TimeInMinutes,m_lapData_3_m_sector1TimeInMS,m_lapData_3_m_sector1TimeInMinutes,m_lapData_3_m_sector2TimeInMS,m_lapData_3_m_sector2TimeInMinutes,m_lapData_4_m_sector1TimeInMS,m_lapData_4_m_sector1TimeInMinutes,m_lapData_4_m_sector2TimeInMS,m_lapData_4_m_sector2TimeInMinutes,m_lapData_5_m_sector1TimeInMS,m_lapData_5_m_sector1TimeInMinutes,m_lapData_5_m_sector2TimeInMS,m_lapData_5_m_sector2TimeInMinutes,m_lapData_6_m_sector1TimeInMS,m_lapData_6_m_sector1TimeInMinutes,m_lapData_6_m_sector2TimeInMS,m_lapData_6_m_sector2TimeInMinutes,m_lapData_7_m_sector1TimeInMS,m_lapData_7_m_sector1TimeInMinutes,m_lapData_7_m_sector2TimeInMS,m_lapData_7_m_sector2TimeInMinutes,m_lapData_8_m_sector1TimeInMS,m_lapData_8_m_sector1TimeInMinutes,m_lapData_8_m_sector2TimeInMS,m_lapData_8_m_sector2TimeInMinutes,m_lapData_9_m_sector1TimeInMS,m_lapData_9_m_sector1TimeInMinutes,m_lapData_9_m_sector2TimeInMS,m_lapData_9_m_sector2TimeInMinutes,m_lapData_10_m_sector1TimeInMS,m_lapData_10_m_sector1TimeInMinutes,m_lapData_10_m_sector2TimeInMS,m_lapData_10_m_sector2TimeInMinutes,m_lapData_11_m_sector1TimeInMS,m_lapData_11_m_sector1TimeInMinutes,m_lapData_11_m_sector2TimeInMS,m_lapData_11_m_sector2TimeInMinutes,m_lapData_12_m_sector1TimeInMS,m_lapData_12_m_sector1TimeInMinutes,m_lapData_12_m_sector2TimeInMS,m_lapData_12_m_sector2TimeInMinutes,m_lapData_13_m_sector1TimeInMS,m_lapData_13_m_sector1TimeInMinutes,m_lapData_13_m_sector2TimeInMS,m_lapData_13_m_sector2TimeInMinutes,m_lapData_14_m_sector1TimeInMS,m_lapData_14_m_sector1TimeInMinutes,m_lapData_14_m_sector2TimeInMS,m_lapData_14_m_sector2TimeInMinutes,m_lapData_15_m_sector1TimeInMS,m_lapData_15_m_sector1TimeInMinutes,m_lapData_15_m_sector2TimeInMS,m_lapData_15_m_sector2TimeInMinutes,m_lapData_16_m_sector1TimeInMS,m_lapData_16_m_sector1TimeInMinutes,m_lapData_16_m_sector2TimeInMS,m_lapData_16_m_sector2TimeInMinutes,m_lapData_17_m_sector1TimeInMS,m_lapData_17_m_sector1TimeInMinutes,m_lapData_17_m_sector2TimeInMS,m_lapData_17_m_sector2TimeInMinutes,m_lapData_18_m_sector1TimeInMS,m_lapData_18_m_sector1TimeInMinutes,m_lapData_18_m_sector2TimeInMS,m_lapData_18_m_sector2TimeInMinutes,m_lapData_19_m_sector1TimeInMS,m_lapData_19_m_sector1TimeInMinutes,m_lapData_19_m_sector2TimeInMS,m_lapData_19_m_sector2TimeInMinutes,m_lapData_20_m_sector1TimeInMS,m_lapData_20_m_sector1TimeInMinutes,m_lapData_20_m_sector2TimeInMS,m_lapData_20_m_sector2TimeInMinutes,m_lapData_21_m_sector1TimeInMS,m_lapData_21_m_sector1TimeInMinutes,m_lapData_21_m_sector2TimeInMS,m_lapData_21_m_sector2TimeInMinutes,m_playerSessionBestDataSet_m_sector1TimeInMS,m_playerSessionBestDataSet_m_sector2TimeInMS,m_playerSessionBestDataSet_m_sector3TimeInMS,m_personalBestDataSet_m_sector1TimeInMS,m_personalBestDataSet_m_sector2TimeInMS,m_personalBestDataSet_m_sector3TimeInMS,m_rivalDataSet_m_sector1TimeInMS,m_rivalDataSet_m_sector2TimeInMS,m_rivalDataSet_m_sector3TimeInMS
10283.8701171875,261844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10356.6748046875,263494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10393.3212890625,264271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
